,STotalM2,SConstrM2,precio_pesos_constantes
109674,440,425,228441.32559796
109891,677,568,334662.554979269
110089,1111111,1111111,197185.464655725
110149,1111,111,3412.21711581032
110274,422,422,140579.277291052
110315,1111,111,7213.2799623326
110371,440,425,202980.974025444
110482,580,60,11223.5029579682
110738,1049,1049,662859.921056073
110809,423,406,130144.194364695
111441,490,490,85558.4751577151
111717,404,400,270641.298700592
111819,440,440,112034.810456955
111939,9999,45,9050.81373277916
112108,1111,45,5302.51494678216
112218,417,353,265345.921345952
112454,450,250,140246.342158774
112533,128000,128000,29189.9166683498
112770,420,400,32082.5098284955
112809,1111,1111,6113.7545112674
112811,500,280,137414.978169224
112843,490,250,109462.187506312
113026,500,200,141588.004029691
113163,1049,1049,603353.005625658
113167,80000,80000,10506.5334910033
113201,487,385,178030.315991755
113244,401,326,145017.816577803
113290,426,342,180814.351613707
113305,585,50,5772.83127762269
113794,540,420,482447.129719914
113882,597,597,474747.509311345
113904,1000,1000,3930.27075724333
114083,404,404,219896.055194231
114175,420,420,2266.4561369462
114547,800,150,33160.3496485425
114588,740,489,199193.160171882
114750,1111,55,8837.43634573853
114766,420,420,427272.758380211
114773,595,280,478063.584412518
114811,409,409,371240.317479108
114819,600,600,1820.56566992551
115088,1111,40,7069.94907659082
115263,500,280,164032.024104771
115469,1111,1111,76623.5312544182
115528,600,525,56017.4052284773
115661,1111,1111,3211.49846193912
115686,420,400,24964.7596368969
115767,480,40,6887.1495423896
115823,770,610,736962.234091013
116216,500,500,405961.948050888
116248,520,300,60110.6663527717
116511,490,390,137553.740831798
116663,11111,1111,6778.48562662238
116788,440,425,208420.905710252
116908,490,390,174866.836806251
117094,580,521,265143.968422429
117421,575,575,433311.825924578
117431,426,342,187073.289543539
117527,677,568,335700.493625592
117641,500,400,30901.5690911863
117807,404,404,219896.055194231
117911,1000,48,9170.6317669011
117931,8500,85,26620.040390527
