,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,COMUNA,precio_pesos_constantes
706,6648,236213,55812,2021-08-01,Departamento,30.0,30.0,0,1,1,0.0,0,34 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Almagro,U,-58.4160306638108,-34.6209717031374,2021,COMUNA 5,6968.0284435379
4320,3794,135364,59101,2021-08-01,Departamento,80.0,78.0,2,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Almagro,U,-58.4179050739957,-34.6029158663464,2021,COMUNA 5,18664.3619023337
1184,4555,161406,59422,2021-06-01,Departamento,20.0,20.0,0,1,1,0.0,No,30 años,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Almagro,U,-58.4353186502219,-34.6009088252012,2021,COMUNA 5,5780.10402302928
5749,4410,156515,58766,2022-11-01,Departamento,46.0,46.0,0,1,1,,0.0,7.0,,1.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,0.0,1.0,1,,,,,,0.0,,,Capital Federal,Capital Federal,Almagro,U,-58.4310194778354,-34.604566140144,2022,COMUNA 5,16496.5478453786
389,1736,61610,58767,2022-09-01,Departamento,38.0,38.0,1,1,2,,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Almagro,U,-58.428838859477,-34.6045917005644,2022,COMUNA 5,5912.70622979138
1103,3739,133039,57450,2022-08-01,Departamento,35.0,35.0,1,1,2,,0.0,40.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Almagro,U,-58.4311432461938,-34.6117783016395,2022,COMUNA 5,6697.91361698799
6469,6490,230744,56802,2022-01-01,Departamento,23.0,23.0,1,1,1,0.0,No,40 años,0,0,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Almagro,U,-58.4093960133192,-34.615638332205,2022,COMUNA 5,5863.25281474089
5636,5770,205212,52851,2022-06-01,Departamento,53.0,32.0,0,1,1,,,52,,,,,,,,,,,,,,,,,,0,,,,,,0.0,,,Capital Federal,Capital Federal,Boedo,U,-58.4163064561906,-34.6371991160734,2022,COMUNA 5,7216.03909702836
3465,412,13593,58766,2022-03-01,Departamento,63.0,58.0,2,2,3,0.0,0,22 años,0,0,0,0,Sí,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Almagro,U,-58.4310194778354,-34.604566140144,2022,COMUNA 5,14672.9662641959
269,5588,198737,54824,2021-09-01,Departamento,42.0,38.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Boedo,S,-58.4183037704165,-34.6263554987679,2021,COMUNA 5,7213.2799623326
3615,6026,214394,58769,2021-03-01,Departamento,37.0,36.0,1,1,2,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Almagro,U,-58.4244776145319,-34.6046427045404,2021,COMUNA 5,5714.78364521745
4148,5012,178504,58112,2021-07-01,Departamento,70.0,70.0,2,1,3,0.0,No,80 años,0,Sí,0,No,Sí,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Almagro,U,-58.4223584897772,-34.6082742436145,2021,COMUNA 5,14922.1573418441
710,682,23166,59096,2022-09-01,Departamento,83.0,83.0,2,2,3,,0.0,54.0,,0.0,,0.0,1.0,0.0,0.0,1.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Almagro,U,-58.4288079713594,-34.6027886570847,2022,COMUNA 5,21022.9554837027
6101,3862,137621,56469,2021-06-01,Departamento,62.0,39.0,1,1,1,0.0,No,10 años,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Almagro,U,-58.4181503711463,-34.617340266683,2021,COMUNA 5,9195.62003663748
1023,5611,199613,52520,2022-08-01,Departamento,23.0,21.0,0,1,1,,,1.0,,,,,,,,,,,,,,,,,,0,,,,,,0.0,,,Capital Federal,Capital Federal,Boedo,U,-58.4207001716631,-34.6389514023456,2022,COMUNA 5,6418.83388294682
5956,6354,225075,53509,2022-03-01,Departamento,43.0,38.0,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Boedo,S,-58.4162451499381,-34.6335930282142,2022,COMUNA 5,7994.8854644657
6081,6116,217365,57128,2021-12-01,Departamento,55.0,50.0,2,1,3,0.0,No,60 años,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Almagro,U,-58.4159081601805,-34.6137595051099,2021,COMUNA 5,10917.4187701204
2532,4102,146071,59427,2021-08-01,Departamento,45.0,40.0,1,1,2,0.0,0,45 años,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Almagro,U,-58.4244160294362,-34.6010366101962,2021,COMUNA 5,7465.74476093346
