,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
2963,42.0,42.0,1,1,2,0,40,1,0,0,1,0,0,0,0,-58.439648561183,-34.5990544025409,10454.0289304797,2
2964,28.0,25.0,1,1,1,0,45,0,0,0,0,0,0,0,0,-58.437437026892,-34.5972770753199,5403.37007637818,2
2965,85.0,78.0,2,2,3,0,35,0,0,1,0,1,0,0,0,-58.4417978620607,-34.5972256176675,15304.7767608658,2
2966,50.0,50.0,2,1,3,0,30,0,0,0,1,0,0,0,0,-58.4309266804247,-34.5991570131627,11198.6171414002,2
2967,42.0,37.0,0,1,1,0,11,0,0,1,0,1,0,0,0,-58.4309266804247,-34.5991570131627,8163.97663602493,2
2968,60.0,76.0,2,1,3,0,10,0,0,0,0,1,0,0,0,-58.4698889246974,-34.5824632281844,19826.8004017748,2
2969,110.0,100.0,3,1,4,0,50,0,0,1,0,0,0,0,0,-58.4418601896523,-34.6008316868129,16261.8227807461,2
2970,58.0,50.0,2,1,3,0,35,0,0,1,0,0,0,0,0,-58.4331691111268,-34.6027375007131,10722.5522699893,2
2971,32.0,32.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.446002444878,-34.5881588388783,6964.45987784652,2
2972,31.0,28.0,0,1,1,0,4,0,0,0,0,1,0,0,0,-58.4439158648155,-34.5935937624991,7642.19313908425,2
2973,110.0,100.0,3,3,4,0,8,0,0,1,0,0,0,0,1,-58.4353496768842,-34.6027118640993,20930.9800530875,2
2974,33.0,33.0,1,1,2,0,50,0,0,0,0,0,0,0,0,-58.4418290244723,-34.5990286525194,5807.79385026648,2
2975,40.0,36.0,1,1,2,1,20,0,0,0,1,1,0,0,0,-58.4417978620607,-34.5972256176675,10968.4233452871,2
2976,47.0,45.0,1,1,2,0,0,0,0,0,0,1,0,0,0,-58.4440406972639,-34.6008058961192,10652.3438436471,0
2977,58.0,58.0,2,1,3,0,50,0,0,1,0,0,0,0,0,-58.448213907164,-34.5899360148642,9775.03721236929,2
2978,35.0,33.0,1,1,2,0,40,0,0,0,0,0,0,0,0,-58.4654339584824,-34.5771066063141,7287.45147486748,2
2979,37.0,34.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.4418601896523,-34.6008316868129,6416.88563682863,2
2980,58.0,58.0,2,1,3,0,50,0,0,1,0,0,0,0,0,-58.448213907164,-34.5899360148642,10175.8137356168,2
2981,37.0,35.0,1,1,2,0,45,0,0,0,0,1,0,0,0,-58.439648561183,-34.5990544025409,6987.14801287703,2
2982,44.0,44.0,1,1,1,1,5,0,0,1,0,0,0,0,0,-58.4655605729865,-34.5843186904474,12498.9010213737,2
