,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,precio_pesos_constantes,year,COMUNA
131069,46904,2021-05-01,Departamento,48.0,38.0,1,1,2,0,Sí,0 años,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.4714162042723,-34.6690073979571,10845.5770025958,2021,COMUNA 8
131131,43619,2022-06-01,Departamento,50.0,50.0,2,1,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Villa Lugano,S,-58.4608214837371,-34.6871685928244,5131.40558010906,2022,COMUNA 8
131333,46904,2021-05-01,Departamento,70.0,45.0,2,1,3,0,Sí,0 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.4714162042723,-34.6690073979571,15183.8078036341,2021,COMUNA 8
131615,46904,2021-06-01,Departamento,0.0,32.0,1,1,1,0,Sí,0 años,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.4714162042723,-34.6690073979571,9195.62003663748,2021,COMUNA 8
131734,45248,2021-08-01,Departamento,51.0,44.0,2,1,3,0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4955830135868,-34.6777300928958,4479.44685656008,2021,COMUNA 8
132352,43286,2021-07-01,Departamento,66.0,66.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4695843374861,-34.6888665994967,8927.78644383837,2021,COMUNA 8
133769,44929,2021-07-01,Departamento,35.0,35.0,1,1,1,0,0,0 años,0,Sí,0,No,0,0,0,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.473790119755,-34.6797989539784,7652.38838043289,2021,COMUNA 8
134246,46904,2021-04-01,Departamento,48.0,38.0,1,1,2,0,Sí,0 años,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.4714162042723,-34.6690073979571,11203.4810456955,2021,COMUNA 8
134272,47225,2022-03-01,Departamento,20.0,20.0,0,1,1,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4888419712125,-34.666992416904,4872.17725952145,2022,COMUNA 8
135130,43947,2022-01-01,Departamento,50.0,50.0,2,1,3,0.0,0,50 años,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.462972510268,-34.6853394147918,6935.03021098384,2022,COMUNA 8
135725,45597,2021-11-01,Departamento,40.0,35.0,0,1,1,0,0,6 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4519015704754,-34.6764549353493,5666.1403423655,2021,COMUNA 8
136024,47245,2022-02-01,Departamento,79.0,73.0,3,1,4,0.0,0,52 años,0,0,0,0,Sí,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Soldati,U,-58.4451975026894,-34.6675177083852,6021.55961613585,2022,COMUNA 8
137016,44274,2021-06-01,Departamento,50.0,70.0,3,1,4,0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4673060925095,-34.6834839397803,5228.36682083103,2021,COMUNA 8
137293,50840,2021-12-01,Departamento,35.0,35.0,1,1,2,0.0,No,35 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.497213949514,-34.6470527879154,7205.49638827943,2021,COMUNA 8
137349,44276,2021-11-01,Departamento,75.0,65.0,3,1,4,0,0,41 años,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4629407891156,-34.6835364224193,10199.0526162579,2021,COMUNA 8
137670,48218,2022-04-01,Departamento,55.0,55.0,2,1,3,0.0,   0,40 años,   0,   0,   0,   0,No,No,   0,No,   0,   0,No,   0,   0,   0,   0,   0,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4756528286756,-34.6617426802317,7098.67743747385,2022,COMUNA 8
138037,44929,2021-08-01,Departamento,35.0,35.0,1,1,1,0,0,0 años,0,Sí,0,No,0,0,0,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.473790119755,-34.6797989539784,7465.74476093346,2021,COMUNA 8
