,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,COMUNA,precio_pesos_constantes
1843,256324,52800,2022-06-01,Departamento,70.0,62.0,2,1,3,,0,,,,,,,1,,,,,,,,,,,0,1,,,,,,0.0,,,Capital Federal,Capital Federal,Liniers,U,-58.5275585403828,-34.6358561733805,2022,COMUNA 9,7857.46479454199
1249,170225,50177,2022-12-01,Departamento,93.0,42.0,1,1,2,,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Liniers,U,-58.5081875491161,-34.6505242749149,2022,COMUNA 9,7848.0246652419
127,18120,50502,2021-11-01,Departamento,45.0,45.0,1,1,1,0.0,0,0 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Liniers,N,-58.5168816544959,-34.6486130438688,2021,COMUNA 9,8612.53332039556
289,39392,49849,2021-10-01,Departamento,28.0,28.0,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Mataderos,N,-58.5060384182014,-34.6523542124426,2021,COMUNA 9,5807.79385026648
1389,193623,51511,2022-08-01,Departamento,65.0,65.0,2,1,3,,0.0,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Parque Avellaneda,U,-58.4687884693938,-34.6437917818936,2022,COMUNA 9,10465.4900265437
1244,169717,47883,2021-08-01,Departamento,70.0,70.0,2,0,3,0.0,0,0,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Mataderos,U,-58.48877745429,-34.6633864628054,2021,COMUNA 9,8710.03555442237
1936,269398,52491,2022-03-01,Departamento,35.0,31.0,1,1,1,0.0,No,11 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Parque Avellaneda,U,-58.4839632715112,-34.6381978963348,2022,COMUNA 9,5831.56351525734
1997,277953,53131,2021-05-01,Departamento,45.0,40.0,1,1,2,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Liniers,U,-58.5231628879396,-34.6341077912018,2021,COMUNA 9,7185.19476421972
1359,188575,50506,2022-05-01,Departamento,55.0,45.0,1,1,2,,0,10,,0,,0,0,0,0,1,,,0,,,,,0,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Mataderos,U,-58.5081548901856,-34.6487213092426,2022,COMUNA 9,8105.05511456727
51,7113,49845,2022-06-01,Departamento,50.0,50.0,1,1,2,,0,15,,0,,0,0,0,0,0,,,0,,,,,0,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Mataderos,U,-58.5147655717615,-34.6522460886618,2022,COMUNA 9,8017.8212189204
1332,183385,51814,2022-01-01,Departamento,46.0,46.0,1,1,2,0.0,0,0,0,Sí,0,0,0,0,0,Sí,0,0,0,0,0,Sí,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Liniers,U,-58.5254762553512,-34.6412923440731,2022,COMUNA 9,5884.26805780447
1856,259168,47547,2022-06-01,Departamento,56.0,45.0,1,1,2,,0,2,,0,0,0,1,0,0,0,0,0,0,,0,,0,0,0,0,,0,,,,0.0,0,,Capital Federal,Capital Federal,Mataderos,U,-58.5040846755274,-34.6650019111481,2022,COMUNA 9,7216.03909702836
1668,233166,49190,2022-02-01,Departamento,50.0,45.0,1,1,2,0.0,No,10 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Mataderos,U,-58.5082855433159,-34.6559331685655,2022,COMUNA 9,8630.90211646139
1388,193553,52143,2021-05-01,Departamento,55.0,55.0,2,1,3,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Liniers,S,-58.5254432334926,-34.6394893901173,2021,COMUNA 9,8134.18275194686
1201,162609,50180,2021-06-01,Departamento,85.0,75.0,2,1,3,0.0,0,20 años,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Mataderos,U,-58.5016423038053,-34.6506050697016,2021,COMUNA 9,7837295.5912256
1841,255964,52799,2022-01-01,Departamento,28.0,29.0,0,1,1,0.0,No,35 años,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Liniers,U,-58.529739879254,-34.6358288272459,2022,COMUNA 9,4623.35347398923
1079,146635,51817,2021-09-01,Departamento,33.0,30.0,1,1,1,0.0,No,0 años,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Liniers,N,-58.5189317877818,-34.6413740479212,2021,COMUNA 9,6732.39463151043
825,111858,50840,2021-08-01,Departamento,40.0,40.0,0,1,2,0.0,No,7 años,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Mataderos,U,-58.497213949514,-34.6470527879154,2021,COMUNA 9,7465.74476093346
481,67012,46562,2021-05-01,Departamento,1200.0,70.0,2,1,3,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Mataderos,U,-58.4998179113945,-34.670464587842,2021,COMUNA 9,10845.5770025958
1012,138406,52148,2022-12-01,Departamento,47.0,40.0,1,1,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Liniers,N,-58.5145360088242,-34.6396253590881,2022,COMUNA 9,7848.0246652419
