,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,Amoblado,Antiguedad,Cisterna,Gimnasio,Laundry,Calefaccion,AireAC,Jacuzzi,SalonFiestas,Cocheras,LONGITUDE,LATITUDE,precio_pesos_constantes,ITE_TIPO_PROD_encoded
694,57.0,50.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5610011290835,-34.4406671214451,7986.01211715808,0
695,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5523295777433,-34.4425809527529,8017.8212189204,0
696,33.0,33.0,1,1,2,0,10,0,0,0,1,0,0,0,0,-58.5480435450045,-34.4462421304782,4277.92375788575,2
697,53.0,50.0,1,1,2,0,9,0,0,0,0,0,0,0,0,-58.5610346707166,-34.4424701039534,7524.59808420301,2
699,158.0,117.0,2,2,3,0,0,0,0,1,1,1,0,0,1,-58.5306982180639,-34.4500673925583,36308.3255405513,0
700,84.0,84.0,2,2,3,0,0,0,0,1,1,1,0,0,1,-58.5879006777413,-34.4817988178897,19242.770925409,1
701,120.0,120.0,7,2,8,0,0,0,0,0,1,0,0,0,0,-58.5674287500175,-34.4351746498774,12691.1509048137,0
702,48.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.5544390554346,-34.4389473218857,9029.51770104362,2
703,33.0,33.0,1,1,1,0,20,0,0,0,0,0,0,0,1,-58.5480768152116,-34.4480451224405,6550.45126207221,2
704,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5745999102034,-34.4693471711239,5518.52581447196,1
705,44.0,40.0,1,1,2,0,5,0,0,0,0,0,0,0,0,-58.5566821301739,-34.4425256057799,8710.03555442237,2
706,75.0,70.0,2,1,3,0,60,0,0,1,0,0,0,0,0,-58.5588584019333,-34.4424978742232,11541.2479397322,2
707,50.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.5652863031168,-34.4370055092644,7944.71555035926,0
708,48.0,48.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.5944324438722,-34.481713755794,33665.8003240381,0
709,45.0,45.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5745999102034,-34.4693471711239,5860.67441486449,1
710,63.0,47.0,1,1,2,0,0,0,0,0,0,1,0,0,1,-58.5349852206722,-34.4464067997776,24053.4636567612,0
711,70.0,60.0,1,1,2,0,20,0,0,0,1,0,0,0,0,-58.5566821301739,-34.4425256057799,8837.43634573853,2
712,42.0,42.0,1,1,2,0,0,0,0,0,0,0,0,0,1,-58.5652863031168,-34.4370055092644,7205.49638827943,0
713,42.0,39.0,1,1,2,0,13,0,0,0,0,1,0,0,1,-58.5588584019333,-34.4424978742232,8837.43634573853,2
714,44.0,39.0,1,1,2,0,42,0,0,1,0,0,0,0,0,-58.5565817944795,-34.437116645404,7900.82798841317,2
715,51.0,45.0,1,1,2,0,0,0,0,0,1,0,0,0,1,-58.5588584019333,-34.4424978742232,10451.5360392583,0
716,58.0,58.0,2,1,3,0,12,0,0,1,1,0,0,0,0,-58.5394372659077,-34.4517610612156,12611.1360502457,2
717,45.0,45.0,1,1,2,0,6,0,0,0,1,1,0,0,1,-58.5609675904305,-34.4388641383755,7562.34970584444,2
718,55.0,55.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5566486819708,-34.440722619549,7069.94907659082,0
719,100.0,80.0,2,2,3,0,25,0,0,0,0,0,0,0,0,-58.5544724539548,-34.4407503105349,14139.8981531816,2
720,83.0,69.0,2,1,3,0,3,0,1,0,0,1,0,0,1,-58.5807568335544,-34.4494302863542,31411.6476608218,2
721,48.0,45.0,1,1,2,0,30,0,0,0,0,0,0,0,1,-58.5522628711624,-34.438974972306,9405.74760525377,2
722,33.0,33.0,1,1,1,0,20,0,0,0,0,0,0,0,1,-58.5480768152116,-34.4480451224405,6799.3684108386,2
723,40.0,40.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5630766010329,-34.4352303690299,6584.02332367764,0
724,55.0,53.0,1,1,2,0,7,0,0,0,0,1,0,0,1,-58.5545058554425,-34.4425532986232,8461.17739572459,2
725,57.0,50.0,1,2,2,0,0,0,0,0,0,0,0,0,1,-58.5480768152116,-34.4480451224405,10035.9326935598,1
726,48.0,48.0,1,1,2,0,10,0,0,0,0,1,0,0,1,-58.5480435450045,-34.4462421304782,8442.76574434091,2
727,244.0,144.0,3,3,4,0,5,0,0,1,0,0,0,0,1,-58.5241687183498,-34.4501489831058,83921.0104215057,2
728,43.0,43.0,1,1,2,0,10,0,0,0,1,0,0,0,1,-58.5394703580174,-34.4535640588694,8250.28153306538,2
729,46.0,43.0,1,1,2,0,6,0,0,0,0,1,0,0,1,-58.5830693728934,-34.4566139617519,9197.54302411993,2
730,45.0,43.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5544390554346,-34.4389473218857,8134.18275194686,2
731,45.0,45.0,0,1,1,1,6,0,0,0,0,1,0,0,0,-58.5566152367394,-34.4389196327571,23621.0359804952,2
732,45.0,43.0,1,1,2,0,10,0,0,0,0,0,0,0,0,-58.5394703580174,-34.4535640588694,7914.15895209832,2
733,57.0,57.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5879006777413,-34.4817988178897,39686.2621388794,0
734,51.0,51.0,1,1,3,1,10,0,1,1,0,1,0,0,1,-58.5879006777413,-34.4817988178897,35144.8193227631,2
735,44.0,40.0,1,1,2,0,13,0,0,1,0,1,0,0,0,-58.5566152367394,-34.4389196327571,8211.92117370296,2
736,96.0,80.0,2,2,3,0,5,0,1,0,0,1,0,0,1,-58.5879006777413,-34.4817988178897,39015.6476871713,2
738,47.0,47.0,1,1,2,0,20,0,0,0,0,0,0,0,0,-58.5566821301739,-34.4425256057799,8515.58664069388,2
739,47.0,44.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.5588584019333,-34.4424978742232,8819.60334081244,0
740,32.0,30.0,1,1,1,0,28,0,0,0,0,0,0,0,0,-58.5566486819708,-34.440722619549,7674.69268613207,2
742,65.0,65.0,2,1,3,0,10,0,0,0,0,0,0,0,1,-58.541680075623,-34.4553396212412,14710.6701445112,2
743,95.0,65.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.4668539529961,-34.5338077594845,9292.47016042637,0
744,60.0,55.0,1,1,2,0,15,0,0,1,0,0,0,0,0,-58.5631101804288,-34.437033351357,8134.18275194686,2
745,40.0,34.0,1,1,1,0,0,0,0,1,0,1,0,0,0,-58.5544390554346,-34.4389473218857,7450.45211941414,0
746,55.0,50.0,1,2,2,0,5,0,0,0,0,0,0,0,1,-58.5588584019333,-34.4424978742232,10204.9707950312,2
747,65.0,51.0,1,2,2,0,0,0,0,0,0,0,0,0,1,-58.4774291171916,-34.5156461274655,20981.2808515995,0
748,55.0,50.0,1,1,2,0,30,0,0,1,1,0,0,0,0,-58.5545392598981,-34.4443562861503,8652.43934553216,2
749,62.0,58.0,1,1,2,0,2,0,0,0,0,0,0,0,0,-58.5566821301739,-34.4425256057799,8670.15603454391,2
750,20.0,20.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5697397160053,-34.4423586357457,5017.96634677988,0
751,65.0,65.0,2,1,3,0,46,0,0,0,0,0,0,0,0,-58.5700771657757,-34.4603883551762,9065.8245477848,2
753,55.0,51.0,1,1,2,0,0,0,0,0,0,0,0,0,0,-58.541680075623,-34.4553396212412,9405.74760525377,0
754,48.0,43.0,1,1,2,0,10,0,0,0,1,1,0,0,1,-58.5587914150728,-34.4388919049203,8819.60334081244,2
755,97.0,64.0,2,2,3,0,3,0,0,0,0,1,0,0,1,-58.5480768152116,-34.4480451224405,20409.9415900623,2
756,44.0,40.0,0,1,1,0,1,0,0,0,0,1,0,0,0,-58.5501866080961,-34.4444115594033,6221.45396744455,2
757,49.0,49.0,2,1,3,0,11,0,0,0,0,1,0,0,1,-58.5416469338267,-34.4535366259876,9426.59876878776,2
758,35.0,35.0,1,1,1,0,0,0,0,0,0,0,0,0,1,-58.5966096931581,-34.4816853242269,11194.0860379355,0
759,33.0,33.0,1,1,1,0,20,0,0,0,0,0,0,0,1,-58.5480768152116,-34.4480451224405,6969.35262031977,2
760,45.0,43.0,1,1,2,0,15,0,0,0,0,0,0,0,0,-58.5394703580174,-34.4535640588694,7914.15895209832,2
761,38.0,35.0,0,1,1,0,0,0,0,0,0,0,0,0,0,-58.5609005220635,-34.4352581705526,5698.19444551079,1
