,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_pesos_constantes
1450,1111,174819,80732,2022-12-01,Departamento,65.0,55.0,1,2,2,,,2.0,,,,,,,,,,,,,,,,,1.0,1,,,,,,1.0,,,San Fernando,Bs.As. G.B.A. Norte,Buena Vista,U,-58.5966096931581,-34.4816853242269,2022,21058.8288135197
1077,1159,182501,80736,2021-09-01,Departamento,108.0,94.0,2,2,4,0.0,No,10 años,0,Sí,0,No,Sí,No,Sí,Sí,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,,U,-58.5879006777413,-34.4817988178897,2021,26448.6931952195
1025,930,146838,87987,2021-01-01,Departamento,42.0,42.0,1,1,2,0.0,No,40 años,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5588584019333,-34.4424978742232,2021,6964.45987784652
480,69,10147,87667,2022-07-01,Departamento,95.0,95.0,2,1,3,,1,0,,1,,1,1,1,1,1,,,1,,,,,1,1,1,,,,,,1.0,,,San Fernando,Bs.As. G.B.A. Norte,,N,-58.539304926867,-34.4445490649943,2022,35668.1774477192
1272,217,34416,87986,2022-03-01,Departamento,46.0,42.0,1,1,1,0.0,0,0 años,0,Sí,0,0,0,0,0,0,0,0,0,0,0,Sí,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,N,-58.5610346707166,-34.4424701039534,2022,7900.82798841317
37,1113,175315,89302,2022-08-01,Departamento,72.0,47.0,1,1,2,,,12.0,,,,1.0,,,,1.0,,,,,,,,,1.0,1,,,,,,0.0,,,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5609005220635,-34.4352581705526,2022,11860.8886967496
935,1509,239467,85684,2022-10-01,Departamento,40.0,40.0,1,1,2,,0.0,7.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,San Fernando,Bs.As. G.B.A. Norte,Virreyes,U,-58.5590929497074,-34.4551187491047,2022,5562.28243641353
336,1354,212430,91598,2022-10-01,Departamento,160.0,160.0,2,2,3,,1.0,5.0,,1.0,,0.0,1.0,1.0,0.0,1.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,San Fernando,Bs.As. G.B.A. Norte,,U,-58.5758960790468,-34.4224419338379,2022,70247.3985361325
1343,1222,194156,80733,2022-01-01,Departamento,0.0,49.0,1,2,2,0.0,Sí,1 años,0,No,0,No,No,No,Sí,No,0,0,No,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,Victoria,U,-58.5944324438722,-34.481713755794,2022,34973.3673612501
1334,1136,179730,88641,2021-02-01,Departamento,31.0,31.0,1,1,2,0.0,No,0,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5674960986083,-34.4387806064949,2021,6111.31965412251
363,330,50998,83699,2021-08-01,Departamento,25.0,20.0,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,Virreyes,S,-58.5832395830007,-34.465628749533,2021,3732.87238046673
792,384,58376,80736,2021-12-01,Departamento,0.0,57.0,1,1,2,0.0,No,0 años,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,,N,-58.5879006777413,-34.4817988178897,2021,18559.6119092046
145,407,62845,86007,2021-01-01,Departamento,70.0,68.0,2,1,3,0.0,No,0 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,N,-58.5721186840971,-34.4531484990562,2021,10446.6898167698
865,1526,242310,87988,2021-10-01,Departamento,50.0,47.0,1,1,2,0.0,0,35 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5566821301739,-34.4425256057799,2021,7433.97612834109
1011,678,104404,88317,2022-11-01,Departamento,50.0,45.0,1,1,2,,,10.0,,,,,,1.0,,1.0,,,,,,,,,,0,,,,,,,,,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5566486819708,-34.440722619549,2022,7069.94907659082
1458,1089,170993,85020,2022-07-01,Departamento,70.0,50.0,1,1,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,San Fernando,Bs.As. G.B.A. Norte,Virreyes,U,-58.5722200817544,-34.4585574050442,2022,6718.84459666606
457,443,68733,88976,2021-10-01,Departamento,48.0,46.0,1,1,2,0.0,No,35 años,0,No,0,No,Sí,Sí,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5544056598818,-34.4371443326754,2021,6969.35262031977
1132,1095,171677,87662,2021-07-01,Departamento,48.0,45.0,1,1,1,0.0,0,0,No,No,No,No,Sí,No,No,No,0,No,No,No,No,No,No,No,No,1,0.0,No,0.0,0.0,0.0,0.0,No,No,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5501866080961,-34.4444115594033,2021,6887.1495423896
1109,431,66709,85694,2022-11-01,Departamento,40.0,40.0,1,1,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,San Fernando,Bs.As. G.B.A. Norte,Victoria,U,-58.5373268275714,-34.4553944519514,2022,7305.61404581052
1169,1082,170115,80736,2021-04-01,Departamento,145.0,135.0,3,3,4,0.0,No,0,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Sí,Sí,1,0.0,No,0.0,0.0,0.0,0.0,No,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5879006777413,-34.4817988178897,2021,42013.053921358
1312,1312,206262,87329,2022-12-01,Departamento,25.0,25.0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5589254006985,-34.4461038412813,2022,5045.15871336979
618,1208,193081,87005,2022-08-01,Departamento,29.0,27.0,0,1,1,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5480768152116,-34.4480451224405,2022,5581.59468082332
111,1182,187284,89302,2022-05-01,Departamento,46.0,46.0,0,1,1,,0,10,,1,,1,1,1,1,1,1,,,,,,,1,1,1,,,,,,1.0,,,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5609005220635,-34.4352581705526,2022,6754.21259547273
1097,1655,263757,87990,2022-06-01,Departamento,52.0,48.0,1,1,2,,0,15,,0,,0,0,1,0,0,,,0,,,,,0,0,0,,,,,,0.0,,,San Fernando,Bs.As. G.B.A. Norte,,U,-58.5523295777433,-34.4425809527529,2022,9461.02903832607
1308,537,81617,89300,2022-01-01,Departamento,65.0,60.0,2,1,3,0.0,No,20 años,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.565252677019,-34.4352025288048,2022,14710.6701445112
869,988,155269,86022,2021-09-01,Departamento,45.0,38.0,1,1,2,0.0,0,11 años,0,0,0,0,Sí,0,0,Sí,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,Victoria,U,-58.5394703580174,-34.4535640588694,2021,8896.3786202102
1121,1330,209265,86022,2022-01-01,Departamento,30.0,30.0,0,1,1,0.0,No,15 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,San Fernando,Bs.As. G.B.A. Norte,Victoria,U,-58.5394703580174,-34.4535640588694,2022,7145.18264161972
788,1713,272438,88315,2022-04-01,Departamento,50.0,43.0,1,1,2,0.0,   0,7 años,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,1,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,San Fernando,Bs.As. G.B.A. Norte,Victoria,U,-58.5610011290835,-34.4406671214451,2022,9938.1484124634
889,1455,229387,80404,2021-07-01,Departamento,103.0,87.0,3,2,4,0.0,No,2 años,0,No,0,Sí,No,No,Sí,Sí,0,0,No,0,0,0,0,No,Sí,2,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,Buena Vista,U,-58.5944667562411,-34.4835166971115,2021,44250.7675911989
59,216,34281,87988,2021-05-01,Departamento,40.0,40.0,1,1,2,0.0,No,20 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0.0,No,0.0,0.0,0.0,0.0,No,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5566821301739,-34.4425256057799,2021,8134.18275194686
722,614,92499,89301,2022-12-01,Departamento,48.0,45.0,1,1,2,,0.0,40.0,,0.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5630766010329,-34.4352303690299,2022,6726.87828449306
939,126,18818,88973,2022-10-01,Departamento,53.0,53.0,2,1,3,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,San Fernando,Bs.As. G.B.A. Norte,,N,-58.5609340547572,-34.4370611547447,2022,9517.68328008538
1445,745,116670,87987,2021-02-01,Departamento,41.0,38.0,0,1,1,0.0,No,15 años,0,Sí,0,No,No,Sí,No,No,0,0,No,0,0,0,0,Sí,Sí,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,,U,-58.5588584019333,-34.4424978742232,2021,7944.71555035926
77,1565,250383,87658,2022-10-01,Departamento,48.0,43.0,1,1,2,,0.0,10.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5588918998277,-34.4443008580329,2022,9270.47072735589
720,511,77396,81062,2022-11-01,Departamento,85.0,74.0,2,2,3,,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,1.0,1,,0.0,,,,1.0,0.0,,San Fernando,Bs.As. G.B.A. Norte,Buena Vista,U,-58.5943981345515,-34.4799108139138,2022,25923.1466141664
904,260,40472,84361,2021-12-01,Departamento,28.0,80.0,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,Virreyes,S,-58.5744644601683,-34.4621353163506,2021,5458.70938506018
1268,1743,277275,88316,2022-07-01,Departamento,32.0,32.0,0,1,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5588249070151,-34.4406948898523,2022,7166.76756977713
1426,1053,166434,88316,2021-10-01,Departamento,45.0,45.0,1,1,2,0.0,No,2 años,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5588249070151,-34.4406948898523,2021,9292.47016042637
52,1202,191934,87654,2021-03-01,Departamento,68.0,65.0,2,1,3,0.0,No,45 años,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5675971439369,-34.4441895372101,2021,5248.27069458746
978,1690,269175,88315,2022-04-01,Departamento,36.0,36.0,0,1,1,0.0,No,17 años,   0,No,   0,No,No,Sí,No,No,   0,   0,No,   0,   0,   0,   0,No,No,1,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,San Fernando,Bs.As. G.B.A. Norte,San Fernando,U,-58.5610011290835,-34.4406671214451,2022,5856.40888591593
191,984,154787,85693,2022-10-01,Departamento,50.0,50.0,1,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,San Fernando,Bs.As. G.B.A. Norte,Victoria,U,-58.5395034530675,-34.4553670559627,2022,8652.43934553216
