,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,COMUNA,precio_pesos_constantes
6284,19030,192335,60740,2022-01-01,Departamento,42.0,40.0,1,2,2,0.0,0,14.0,0,No,0,No,0,0,0,Sí,0,0,No,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Palermo Soho,U,-58.4308339077425,-34.5937478811594,2022,293.688021813635,Desconocido,11747.5208725454
10908,5293,53179,59118,2021-05-01,Departamento,36.0,36.0,1,1,2,0.0,No,40.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,,U,-58.3808347168876,-34.6033410934959,2021,158.16466462118888,Desconocido,5693.9279263628
8229,2189,21904,58127,2022-02-01,Departamento,30.0,30.0,1,1,2,0.0,No,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sí,0,0,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Congreso,U,-58.3896473523691,-34.6086512726767,2022,167.26554489266266,Desconocido,5017.96634677988
16805,831,8531,65999,2021-08-01,Departamento,377.0,300.0,4,3,6,0.0,No,35.0,0,No,0,No,Sí,No,No,Sí,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Belgrano Barrancas,U,-58.4412374117942,-34.5647708948694,2021,335.5613466756,Desconocido,100668.40400268
943,9826,99049,57430,2022-07-01,Departamento,35.0,35.0,1,1,2,,0,30.0,,1,,0,0,0,0,0,,,0,,,,,0,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Villa Gral. Mitre,U,-58.4747587993372,-34.6112587739044,2022,405.26364233858857,Desconocido,14184.2274818506
7460,8012,80440,63042,2022-12-01,Departamento,25.0,22.0,0,1,1,,0.0,28.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Palermo Hollywood,U,-58.4327975379117,-34.5811009765152,2022,280.28659518721093,Desconocido,6166.30509411864
783,1324,13442,60108,2021-04-01,Departamento,50.0,50.0,2,1,3,0.0,No,60.0,0,Sí,0,No,Sí,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,,U,-58.3742036932793,-34.5980057053972,2021,165.2513454240082,Desconocido,8262.56727120041
2586,4537,45709,61082,2021-03-01,Departamento,36.0,35.0,1,1,2,0.0,No,50.0,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Barrio Norte,U,-58.4024590226485,-34.5922739287559,2021,158.28117967803428,Desconocido,5539.8412887312
2603,3891,39036,59776,2021-06-01,Departamento,25.0,25.0,1,1,2,0.0,No,40.0,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Barrio Norte,U,-58.3807750211549,-34.5997349309175,2021,241.7134409630424,Desconocido,6042.83602407606
14428,1726,17118,56810,2021-04-01,Departamento,24.0,24.0,1,1,1,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Congreso,U,-58.3919485113099,-34.6158386887663,2021,198.3949768508571,Desconocido,4761.47944442057
