,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,COMUNA,precio_pesos_constantes
9122,9,195,63382,2021-02-01,Departamento,190.0,170.0,3,3,4,0,Sí,0,No,Sí,No,No,No,Sí,No,Sí,No,No,No,No,No,Sí,No,No,No,1,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Palermo,U,-58.4087869186342,-34.5795771180336,2021,COMUNA 14,92800.3889478503
9542,14265,249023,62064,2021-10-01,Departamento,95.0,95.0,3,2,4,0.0,No,30 años,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,1,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Palermo,U,-58.4132689924312,-34.5867389538653,2021,COMUNA 14,19746.499090906
6892,8493,147673,65675,2022-04-01,Departamento,330.0,309.0,4,4,5,0.0,Sí,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,2,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Palermo,U,-58.4303704150329,-34.566702145826,2022,COMUNA 14,243157.723328627
6228,11044,191215,62723,2021-09-01,Departamento,30.0,30.0,1,1,2,0.0,No,0,No,No,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Palermo,S,-58.4110278573618,-34.5831580599017,2021,COMUNA 14,6251.50930068825
10267,10948,189756,60415,2021-07-01,Departamento,25.0,25.0,1,1,2,0.0,0,41 años,0,0,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Palermo,U,-58.4221432811935,-34.5956528995383,2021,COMUNA 14,6632.0699297085
5509,10980,190312,62385,2022-02-01,Departamento,50.0,50.0,1,1,3,0.0,Sí,30 años,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Palermo,U,-58.4306793415401,-34.5847326499948,2022,COMUNA 14,12043.1192322717
12843,13360,232754,63380,2021-02-01,Departamento,33.0,33.0,1,1,2,0.0,Sí,40 años,0,No,0,No,No,Sí,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Palermo,U,-58.4131468836205,-34.5795267067007,2021,COMUNA 14,8555.84751577151
8026,14514,253571,61082,2021-11-01,Departamento,139.0,127.0,3,4,4,0.0,0,0 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Palermo,N,-58.4024590226485,-34.5922739287559,2021,COMUNA 14,89082.5188302568
1328,6153,106871,61077,2022-10-01,Departamento,65.0,60.0,2,1,3,,0.0,40.0,,0.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Palermo,U,-58.4133606025197,-34.5921481333869,2022,COMUNA 14,12360.6276364745
3421,3443,59754,61079,2021-04-01,Departamento,55.0,55.0,2,1,3,0,0,30 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Palermo,U,-58.4089999786816,-34.5921985683488,2021,COMUNA 14,11203.4810456955
