,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,COMUNA,precio_pesos_constantes
1672,1351,60691,58076,2021-02-01,Departamento,70.0,60.0,2,1,3,0.0,No,4.0,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Villa del Parque,U,-58.5008626846431,-34.6073336091214,2021,203.7106551374167,COMUNA 11,12222.639308245
2175,1923,86777,57742,2022-08-01,Departamento,55.0,53.0,2,2,3,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,Capital Federal,Capital Federal,Villa Devoto,N,-58.511798440482,-34.6090019473757,2022,342.2675983523736,COMUNA 11,18140.1827126758
1684,3966,178573,55766,2022-06-01,Departamento,38.0,33.0,0,1,1,,0,0.0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,,,0.0,0,,Capital Federal,Capital Federal,Villa Devoto,N,-58.5163564874295,-34.6197656326404,2022,242.96427936122424,COMUNA 11,8017.8212189204
2864,4386,197425,59067,2021-05-01,Departamento,37.0,37.0,0,1,1,0.0,No,6.0,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Villa del Parque,U,-58.4920434068347,-34.6020316405457,2021,183.2023142330373,COMUNA 11,6778.48562662238
1323,653,27442,62023,2021-01-01,Departamento,40.0,37.0,0,1,1,0.0,No,0.0,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Villa Devoto,N,-58.5026535526441,-34.5856709298811,2021,171.11695031563946,COMUNA 11,6331.32716167866
1378,2476,112354,58733,2021-04-01,Departamento,40.0,36.0,1,1,2,0.0,0,41.0,0,No,0,No,0,0,0,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Villa del Parque,U,-58.5029783168316,-34.6037007936588,2021,210.06526960679,COMUNA 11,7562.34970584444
2118,4302,193896,56422,2021-10-01,Departamento,52.0,40.0,1,2,2,0.0,No,6.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Villa Devoto,U,-58.5206525609295,-34.6161053947959,2021,261.3507232619925,COMUNA 11,10454.0289304797
2216,2332,106130,57081,2022-01-01,Departamento,33.0,30.0,1,1,1,0.0,No,5.0,No,No,No,No,No,Sí,No,No,No,No,Sí,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Villa Devoto,U,-58.5184060529308,-34.6125266298305,2022,245.177835741853,COMUNA 11,7355.33507225559
884,628,26467,57737,2022-10-01,Departamento,41.0,38.0,1,1,2,,0.0,45.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Villa Devoto,U,-58.5227016727686,-34.6088663277491,2022,195.1678047864397,COMUNA 11,7416.37658188471
2782,2585,116898,58734,2022-02-01,Departamento,57.0,53.0,2,2,3,0.0,No,20.0,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Villa del Parque,U,-58.5007977913757,-34.6037276394979,2022,390.0758745043981,COMUNA 11,20674.0213487331
