,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,precio_pesos_constantes
4374,4291,151988,48811,2022-01-01,Departamento,48.0,45.0,1,1,2,0.0,No,10.0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,1,0.0,No,0.0,0.0,0.0,0.0,No,0,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6174111455762,-34.6563374845721,2022,177.46205253696044,7985.79236416322
1298,2606,92190,48809,2021-07-01,Departamento,27.0,26.0,1,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Morón,Bs.As. G.B.A. Oeste,Morón,N,-58.62177470452,-34.6562795095733,2021,166.78282367610154,4336.35341557864
1723,1912,67475,49799,2021-10-01,Departamento,60.0,60.0,1,2,2,0.0,No,0.0,0,No,0,No,No,No,Sí,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Morón,Bs.As. G.B.A. Oeste,Morón,N,-58.6151244191006,-34.6509577963614,2021,154.87450267377284,9292.47016042637
2627,2045,72651,52452,2022-02-01,Departamento,36.0,32.0,1,1,2,0.0,No,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Morón,Bs.As. G.B.A. Oeste,Villa Sarmiento,U,-58.569037431285,-34.6371328470445,2022,200.718653871195,6422.99692387824
1059,2772,98814,51096,2022-09-01,Departamento,42.0,42.0,1,1,2,,1.0,5.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1,,0.0,,,,0.0,0.0,,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6564316257902,-34.6431902368362,2022,104.80193581905355,4401.68130440025
3840,466,15586,48810,2022-01-01,Departamento,59.0,54.0,1,1,2,0.0,No,10.0,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6195929266061,-34.6563085165818,2022,101.18061192781649,5463.75304410209
4269,266,8447,52119,2022-12-01,Departamento,59.0,59.0,2,1,3,,0.0,40.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Morón,Bs.As. G.B.A. Oeste,Villa Sarmiento,U,-58.5777968819167,-34.6388231675496,2022,142.51860772231052,8408.59785561632
4685,4797,169399,48479,2022-06-01,Departamento,50.0,45.0,1,1,2,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,Morón,Bs.As. G.B.A. Oeste,Morón,N,-58.62399165514,-34.6580533270568,2022,135.4120916973222,6093.5441263795
1967,3684,129922,51115,2021-09-01,Departamento,41.0,38.0,1,1,2,0.0,0,16.0,0,0,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6149845394819,-34.6437462988749,2021,151.85852552279158,5770.62396986608
1264,2508,88559,57703,2021-01-01,Departamento,48.0,48.0,1,1,2,0.0,Sí,0.0,0,Sí,0,No,No,Sí,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Morón,Bs.As. G.B.A. Oeste,El Palomar,N,-58.5968416864483,-34.6079182878761,2021,311.58043794411043,14955.8610213173
3654,3790,134036,42869,2021-08-01,Departamento,100.0,100.0,2,3,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Morón,Bs.As. G.B.A. Oeste,,U,-58.6616942683104,-34.6882015663955,2021,92.0775187181793,9207.75187181793
4348,4196,148719,50126,2022-12-01,Departamento,18.0,18.0,1,1,1,,,30.0,,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6194526321226,-34.6490970413608,2022,218.0006851456084,3924.01233262095
2478,725,24514,50453,2022-04-01,Departamento,45.0,40.0,1,1,2,0.0,   0,25.0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.623780647042,-34.647236137517,2022,168.59358914000398,6743.74356560016
1850,1151,39443,50135,2022-04-01,Departamento,32.0,30.0,1,1,1,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,   0,Morón,Bs.As. G.B.A. Oeste,Haedo,U,-58.5998181903503,-34.6493562792407,2022,165.63580687439,4969.0742062317
2168,2982,105923,47146,2021-10-01,Departamento,60.0,60.0,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Morón,Bs.As. G.B.A. Oeste,,U,-58.6612260929268,-34.6647648563037,2021,154.87450267377284,9292.47016042637
713,3413,120862,43854,2022-07-01,Departamento,35.0,30.0,1,1,2,,,30.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6659510294476,-34.6827335079502,2022,134.376891933321,4031.30675799963
2638,414,13296,48159,2022-10-01,Departamento,35.0,35.0,1,1,2,,,5.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6043898991733,-34.6601162343552,2022,165.98557111837198,5809.49498914302
3209,5649,199357,49800,2021-10-01,Departamento,42.0,40.0,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6129427734534,-34.6509866805193,2021,174.23381550799425,6969.35262031977
1702,5029,177353,50460,2022-08-01,Departamento,47.0,43.0,1,1,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Morón,Bs.As. G.B.A. Oeste,Morón,N,-58.6085098099764,-34.6474385726146,2022,136.2947538340579,5860.67441486449
4418,4264,151051,49796,2021-08-01,Departamento,70.0,70.0,2,1,3,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6216693373849,-34.6508709098244,2021,124.429079348891,8710.03555442237
4668,3911,138895,50456,2021-06-01,Departamento,48.0,42.0,1,1,2,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Morón,Bs.As. G.B.A. Oeste,Morón,S,-58.6172360212394,-34.647323129448,2021,137.62152435784,5780.10402302928
310,2447,86720,49140,2021-03-01,Departamento,42.0,35.0,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6173761144864,-34.6545346146775,2021,149.95059127392742,5248.27069458746
4064,1232,42639,50129,2022-01-01,Departamento,50.0,50.0,1,1,2,0.0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6129078460815,-34.6491838050634,2022,142.9036528323944,7145.18264161972
3665,2357,83525,44860,2022-05-01,Departamento,35.0,35.0,1,1,1,,0,10.0,,0,,0,0,0,0,0,,,0,,,,,0,0,0,,,,,,0.0,,,Morón,Bs.As. G.B.A. Oeste,Morón,U,-58.6243787955123,-34.6778847883486,2022,77.19100109111686,2701.68503818909
