,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,COMUNA,precio_pesos_constantes
2870,4541,185942,52839,2021-11-01,Departamento,52.0,48.0,1,1,2,0.0,No,8.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Parque Chacabuco,U,-58.4424840750104,-34.6368922554014,2021,212.48026283870627,COMUNA 7,10199.0526162579
434,2408,95871,54144,2022-08-01,Departamento,38.0,32.0,1,1,2,,0.0,35.0,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Flores,U,-58.4663529338031,-34.6293940135818,2022,218.0310422196609,COMUNA 7,6976.99335102915
281,4084,167502,55791,2022-07-01,Departamento,47.0,47.0,1,1,2,,0,10.0,,0,,0,0,0,0,0,,,0,,,,,0,1,0,,,,,,0.0,,,Capital Federal,Capital Federal,Flores,U,-58.4618323221311,-34.620431336845,2022,270.0244873364617,COMUNA 7,12691.1509048137
577,214,8374,53490,2021-11-01,Departamento,30.0,30.0,1,1,1,0.0,0,8.0,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Flores,U,-58.4576910698457,-34.6331046372614,2021,226.64561369462,COMUNA 7,6799.3684108386
562,755,31565,53819,2022-08-01,Departamento,115.0,110.0,3,2,4,,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,1,,,,,,0.0,,,Capital Federal,Capital Federal,Flores,N,-58.4576595246334,-34.6313016251681,2022,107.82626087954182,COMUNA 7,11860.8886967496
4151,2335,93065,54155,2021-01-01,Departamento,30.0,30.0,1,1,2,0.0,No,40.0,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Parque Chacabuco,U,-58.4423592092465,-34.6296801595579,2021,200.49202678649064,COMUNA 7,6014.76080359472
3030,4538,185637,55134,2021-10-01,Departamento,34.0,32.0,1,1,2,0.0,No,35.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Flores,U,-58.459714472456,-34.6240634851902,2021,214.16239822857656,COMUNA 7,6853.19674331445
4020,4028,164482,54802,2022-08-01,Departamento,38.0,36.0,0,1,1,,,16.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Flores,U,-58.4662894801594,-34.6257880005951,2022,174.42483377572887,COMUNA 7,6279.29401592624
157,2229,89112,53159,2022-02-01,Departamento,38.0,38.0,1,1,2,0.0,No,30.0,0,Sí,0,No,Sí,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Flores,U,-58.4620853822568,-34.6348554168242,2022,184.8724443550481,COMUNA 7,7025.15288549183
5,1502,60614,54479,2021-06-01,Departamento,54.0,48.0,2,1,3,0.0,No,45.0,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Flores,U,-58.4532340443099,-34.6277476613531,2021,218.94333420565417,COMUNA 7,10509.2800418714
