,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,precio_pesos_constantes
187,2404,144317,68110,2022-02-01,Departamento,34.0,34.0,1,1,1,0.0,Sí,30.0,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,1,0.0,Sí,0.0,0.0,0.0,0.0,Sí,0,Pilar,Bs.As. G.B.A. Norte,Boca Raton,U,-58.8593777573947,-34.5464940260284,2022,206.62214369093616,7025.15288549183
2722,2132,128989,88844,2021-06-01,Departamento,46.0,40.0,1,1,2,0.0,No,5.0,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,Sí,1,0.0,No,0.0,0.0,0.0,0.0,No,0,Pilar,Bs.As. G.B.A. Norte,Alto del Molino,U,-58.8416281843738,-34.4331550325943,2021,295.57350117763247,11822.9400471053
2168,2630,157410,88537,2022-09-01,Departamento,60.0,60.0,1,2,2,,0.0,0.0,,1.0,,1.0,0.0,0.0,1.0,1.0,,,0.0,,,,,0.0,0.0,1,,,,,,0.0,,,Pilar,Bs.As. G.B.A. Norte,,N,-58.7938002900998,-34.4356695012324,2022,334.467795158175,20068.0677094905
499,216,11992,85222,2022-05-01,Departamento,50.0,48.0,1,1,2,,0,0.0,,,,,,1,,1,,,,,,,,,0,1,,,,,,0.0,,,Pilar,Bs.As. G.B.A. Norte,La Lonja,N,-58.8485921714725,-34.452886365849,2022,158.3018577063921,7598.48916990682
113,2919,176621,87568,2022-11-01,Departamento,185.0,75.0,2,2,3,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,1.0,1,,0.0,,,,0.0,0.0,,Pilar,Bs.As. G.B.A. Norte,Pilar,N,-58.7547478706987,-34.4416463312409,2022,351.44819322763067,26358.6144920723
1470,721,42535,24629,2021-07-01,Departamento,126.0,106.0,3,3,4,0.0,No,0.0,0,Sí,0,Sí,Sí,No,Sí,Sí,0,0,No,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Pilar,Bs.As. G.B.A. Norte,Condominio Tortugas I y II,N,-58.2615859551132,-34.7939919243608,2021,360.9617160581547,38261.9419021644
1481,2130,128854,78314,2022-07-01,Departamento,35.0,35.0,1,1,1,,0,5.0,,0,,0,0,0,0,1,,,0,,,,,0,0,0,,,,,,0.0,,,Pilar,Bs.As. G.B.A. Norte,Pilar,U,-58.8472502026639,-34.4907760714642,2022,234.626319248656,8211.92117370296
816,3316,200313,88521,2022-03-01,Departamento,60.0,60.0,1,1,2,0.0,No,0.0,0,No,0,Sí,No,No,No,No,0,0,No,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Pilar,Bs.As. G.B.A. Norte,,N,-58.8286131498872,-34.4351537239329,2022,376.2299042101501,22573.794252609
648,1076,64840,88205,2022-07-01,Departamento,45.0,38.0,1,1,1,,0,0.0,,1,,1,1,1,1,1,,,0,,,,,1,0,0,,,,,,0.0,,,Pilar,Bs.As. G.B.A. Norte,,N,-58.8003664437551,-34.4373763097321,2022,353.623399824529,13437.6891933321
2737,1341,80810,89173,2021-12-01,Departamento,50.0,43.0,1,1,1,0.0,No,0.0,No,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Sí,Sí,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Pilar,Bs.As. G.B.A. Norte,Alto del Molino,U,-58.8415886293555,-34.4313523103948,2021,223.42624459781183,9607.32851770591
