,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_pesos_constantes
1802,274035,47802,2021-01-01,Departamento,29.0,29.0,0,1,1,0.0,No,0 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Ituzaingó,Bs.As. G.B.A. Oeste,,N,-58.6655178297865,-34.6610996524978,2021,5856.47762455276
79,13304,49439,2022-01-01,Departamento,40.0,34.0,0,1,1,0.0,No,0 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Ituzaingó,Bs.As. G.B.A. Oeste,Ituzaingó Norte,N,-58.6827903130624,-34.65184585086,2022,8406.09722543496
819,128363,48129,2022-04-01,Departamento,69.0,69.0,2,1,3,0.0,No,0 años,   0,Sí,   0,No,No,No,No,Sí,   0,   0,No,   0,   0,   0,   0,No,No,1,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Ituzaingó,Bs.As. G.B.A. Oeste,,N,-58.6698453592843,-34.6592371278325,2022,12422.6855155792
177,29395,48458,2021-03-01,Departamento,12.0,12.0,0,0,0,0.0,No,0 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Ituzaingó,Bs.As. G.B.A. Oeste,Ituzaingó Centro,N,-58.6698091889416,-34.657434306284,2021,583.141188287495
1265,193596,49119,2022-07-01,Departamento,49.0,43.0,1,1,2,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,1,,0,,,,0.0,0,,Ituzaingó,Bs.As. G.B.A. Oeste,Ituzaingó Centro,N,-58.663191864959,-34.6539181345427,2022,8958.45946222141
1131,175994,48444,2021-04-01,Departamento,36.0,36.0,1,1,2,0.0,No,0 años,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Ituzaingó,Bs.As. G.B.A. Oeste,,N,-58.7003534267881,-34.6570120666237,2021,5041.56647056296
19,4065,48461,2021-10-01,Departamento,12.0,12.0,0,0,0,0.0,No,5 años,0,No,0,Sí,No,No,Sí,No,0,0,No,0,0,0,0,No,Sí,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Ituzaingó,Bs.As. G.B.A. Oeste,,U,-58.6632639128048,-34.6575237913085,2021,580.779385026648
176,29300,48455,2022-03-01,Departamento,30.0,30.0,0,1,1,0.0,No,2 años,0,Sí,0,No,No,No,Sí,Sí,0,0,No,0,0,0,0,No,Sí,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Ituzaingó,Bs.As. G.B.A. Oeste,Ituzaingó Centro,U,-58.6763544361651,-34.6573444701112,2022,5643.44856315226
78,13290,53061,2022-06-01,Departamento,36.0,36.0,1,1,2,,0,5,,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,1,,0,,,,0.0,0,,Ituzaingó,Bs.As. G.B.A. Oeste,Villa Ariza,U,-58.6758464072368,-34.6321049929713,2022,4730.51451916304
1828,277771,47801,2022-10-01,Departamento,40.0,40.0,1,1,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Ituzaingó,Bs.As. G.B.A. Oeste,Ituzaingó Norte,U,-58.6676996829176,-34.6610698201668,2022,6798.34520006099
497,74961,48455,2022-09-01,Departamento,30.0,30.0,0,1,1,,0.0,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,1,,,,,,0.0,,,Ituzaingó,Bs.As. G.B.A. Oeste,,U,-58.6763544361651,-34.6573444701112,2022,5649.9192862451
628,99540,48458,2022-05-01,Departamento,57.0,57.0,2,1,3,,0,5,,0,,0,0,0,1,0,,,0,,,,,0,1,1,,,,,,0.0,,,Ituzaingó,Bs.As. G.B.A. Oeste,Ituzaingó Centro,U,-58.6698091889416,-34.657434306284,2022,11819.8720420773
810,126811,48461,2021-12-01,Departamento,12.0,12.0,0,0,0,0.0,No,5 años,0,No,0,Sí,No,No,Sí,No,0,0,No,0,0,0,0,No,Sí,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Ituzaingó,Bs.As. G.B.A. Oeste,,U,-58.6632639128048,-34.6575237913085,2021,545.870938506018
936,147493,48455,2022-04-01,Departamento,60.0,45.0,0,1,1,0.0,No,20 años,   0,Sí,   0,   0,Sí,Sí,   0,Sí,   0,   0,   0,   0,   0,   0,   0,   0,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Ituzaingó,Bs.As. G.B.A. Oeste,Ituzaingó Norte,U,-58.6763544361651,-34.6573444701112,2022,3904.27259061062
982,154717,52411,2022-11-01,Departamento,35.0,35.0,1,1,2,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0,,0.0,,,,0.0,0.0,,Ituzaingó,Bs.As. G.B.A. Oeste,Ituzaingó Norte,U,-58.6584694165447,-34.6359492306001,2022,2038399.52072026
