,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,COMUNA,precio_pesos_constantes
15,512,54152,2022-01-01,Departamento,47.0,43.0,1,1,2,0.0,No,10 años,0,Sí,0,No,No,No,Sí,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.448902985813,-34.6296025876218,2022,COMUNA 6,11348.2312543372
8784,234071,55478,2021-09-01,Departamento,45.0,42.0,1,1,2,0.0,Sí,5 años,0,No,0,No,Sí,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4269667992785,-34.6226476432199,2021,COMUNA 6,10819.9199434989
3067,81968,57449,2022-11-01,Departamento,250.0,250.0,6,3,6,,0.0,50.0,,0.0,,0.0,1.0,1.0,0.0,1.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,U,-58.4333240502473,-34.6117526954107,2022,COMUNA 6,42173.7831873157
6760,179689,57114,2021-02-01,Departamento,67.0,60.0,2,1,3,0.0,0,45 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4464400954054,-34.6134012667076,2021,COMUNA 6,12222.639308245
5108,135712,55800,2022-10-01,Departamento,74.0,58.0,2,1,3,,,50.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Caballito,U,-58.4422031894232,-34.6206650271845,2022,COMUNA 6,14832.7531637694
9550,254088,57117,2022-01-01,Departamento,65.0,65.0,2,1,3,0.0,No,45 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Caballito,U,-58.4398975833162,-34.6134786750435,2022,COMUNA 6,12609.1458381524
7758,206233,57439,2022-05-01,Departamento,45.0,42.0,1,1,2,,,32,,,,,,,,,,,,,,,,,,0,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,U,-58.4551319386515,-34.6114944900758,2022,COMUNA 6,8611.62105922773
6215,165272,54154,2022-04-01,Departamento,45.0,45.0,1,1,2,0.0,No,   0,   0,   0,   0,   0,Sí,   0,   0,   0,   0,   0,   0,   0,   0,Sí,   0,   0,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Caballito,U,-58.4445404708802,-34.629654341236,2022,COMUNA 6,7098.67743747385
6398,169698,54489,2022-08-01,Departamento,34.0,31.0,0,1,1,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,N,-58.4314218858563,-34.6280056323533,2022,COMUNA 6,6976.99335102915
3637,96881,57449,2022-04-01,Departamento,53.0,50.0,1,1,2,0.0,No,   0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,   0,Capital Federal,Capital Federal,Caballito,S,-58.4333240502473,-34.6117526954107,2022,COMUNA 6,9405.74760465286
1125,30655,56788,2021-07-01,Departamento,35.0,32.0,0,1,1,0.0,No,30 años,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4399287235284,-34.6152817065936,2021,COMUNA 6,6887.1495423896
918,24749,55802,2022-07-01,Departamento,95.0,95.0,3,2,4,,0,40,,0,,0,1,1,0,0,,,0,,,,,0,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,U,-58.4378411293398,-34.6207165296244,2022,COMUNA 6,17916.9189244428
9940,264400,55473,2022-10-01,Departamento,104.0,95.0,2,2,3,,1.0,50.0,,,,,1.0,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Caballito,U,-58.4378722334779,-34.6225195606625,2022,COMUNA 6,13596.690400122
3846,102744,55139,2021-05-01,Departamento,46.0,44.0,1,1,2,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Caballito,U,-58.4488089412231,-34.6241935254421,2021,COMUNA 6,6778.48562662238
7627,202866,57116,2022-12-01,Departamento,40.0,35.0,1,1,2,,,,,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Caballito,U,-58.4420784234511,-34.6134529112317,2022,COMUNA 6,6390.53437026841
7915,210078,58760,2022-08-01,Departamento,48.0,48.0,2,1,3,,0.0,65.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Caballito,U,-58.4441031301246,-34.6044119595786,2022,COMUNA 6,9070.0913563379
9827,261427,54481,2021-05-01,Departamento,160.0,148.0,3,2,4,0.0,No,20 años,0,No,0,No,No,Sí,No,No,0,0,Sí,0,0,0,0,Sí,No,1,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4488716348315,-34.6277995674541,2021,COMUNA 6,40670.9137597343
2146,57710,55802,2021-04-01,Departamento,59.0,59.0,2,1,3,0.0,No,40 años,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4378411293398,-34.6207165296244,2021,COMUNA 6,9803.04591498353
5969,159021,55141,2021-08-01,Departamento,82.0,72.0,3,2,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,S,-58.4444467092096,-34.6242452686695,2021,COMUNA 6,14558.2022838202
2452,64968,59093,2021-10-01,Departamento,47.0,45.0,1,1,2,0.0,No,7 años,0,No,0,No,No,Sí,No,Sí,0,0,No,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4353496768842,-34.6027118640993,2021,COMUNA 6,9060.15840641571
4781,127499,55802,2021-03-01,Departamento,32.0,32.0,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Caballito,S,-58.4378411293398,-34.6207165296244,2021,COMUNA 6,8455.54723016868
6013,159881,58102,2021-06-01,Departamento,31.0,26.0,0,1,1,0.0,No,45 años,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Caballito,U,-58.4441655740791,-34.6080180208039,2021,COMUNA 6,5517.37202198249
9414,250040,55478,2021-02-01,Departamento,28.0,28.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4269667992785,-34.6226476432199,2021,COMUNA 6,6416.88563682863
3165,84612,55798,2022-01-01,Departamento,47.0,42.0,1,1,2,0.0,No,60 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.446565238421,-34.6206133688353,2022,COMUNA 6,9456.85937861433
3635,96863,57116,2021-08-01,Departamento,44.0,38.0,1,1,2,0.0,No,20 años,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,Sí,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4420784234511,-34.6134529112317,2021,COMUNA 6,9705.4681892135
8450,224637,54808,2021-06-01,Departamento,67.0,62.0,2,2,3,0.0,No,25 años,0,No,0,No,Sí,No,No,Sí,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4532026018079,-34.6259446440992,2021,COMUNA 6,11297.4760450118
7513,199762,54483,2022-07-01,Departamento,45.0,45.0,2,1,3,,0.0,40.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,U,-58.4445092142135,-34.6278513176059,2022,COMUNA 6,8958.45946222141
9316,247543,55476,2021-08-01,Departamento,20.0,20.0,0,1,1,0.0,No,27 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4313289812146,-34.6225965271391,2021,COMUNA 6,3732.87238046673
10101,268539,57450,2022-09-01,Departamento,30.0,30.0,1,1,1,,0.0,20.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,U,-58.4311432461938,-34.6117783016395,2022,COMUNA 6,6569.67358865709
1551,42284,55141,2022-05-01,Departamento,24.0,24.0,1,1,1,,0,45,,0,,0,0,0,0,0,,,0,,,,,0,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,U,-58.4444467092096,-34.6242452686695,2022,COMUNA 6,5909.93602103864
10413,276555,56130,2021-01-01,Departamento,204.0,204.0,2,2,3,0.0,0,0 años,0,No,0,No,0,No,No,No,0,0,0,0,0,No,0,0,No,0,0.0,0,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Caballito,N,-58.4399910122526,-34.6188877680185,2021,COMUNA 6,18993.981485036
2353,62735,54486,2022-07-01,Departamento,149.0,149.0,3,3,4,,0,40,,0,,0,1,0,0,1,,,0,,,,,0,0,1,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,U,-58.4379655624728,-34.6279286504261,2022,COMUNA 6,26875.3783866642
7786,206825,56788,2021-08-01,Departamento,30.0,30.0,1,1,2,0.0,No,50 años,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4399287235284,-34.6152817065936,2021,COMUNA 6,7963.46107832902
4808,128195,54159,2022-06-01,Departamento,111.0,100.0,3,1,4,,0,35,,0,,0,1,0,0,1,,,0,,,,,0,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,U,-58.4336341350276,-34.6297830429399,2022,COMUNA 6,15233.8603159488
5985,159328,56135,2022-08-01,Departamento,28.0,28.0,0,1,1,,,45.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Caballito,U,-58.4290860632267,-34.6190160283134,2022,COMUNA 6,6279.29401592624
6250,165957,56460,2022-11-01,Departamento,77.0,70.0,2,1,3,,,52.0,,,,,,,,,,,,,,,,,,0,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,U,-58.4377789293523,-34.6171104658731,2022,COMUNA 6,10604.9236148862
5608,148861,55137,2021-10-01,Departamento,32.0,28.0,0,1,1,0.0,No,9 años,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,Sí,Sí,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Caballito,U,-58.4531711620989,-34.6241416262865,2021,COMUNA 6,6737.04086630912
8737,232601,57116,2022-11-01,Departamento,87.0,73.0,4,3,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Caballito,S,-58.4420784234511,-34.6134529112317,2022,COMUNA 6,14729.0605762309
10313,273985,55809,2022-12-01,Departamento,45.0,42.0,0,1,1,,0.0,10.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,1.0,0.0,0,,1.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Caballito,U,-58.4225738322322,-34.6208955603587,2022,COMUNA 6,9529.74423636517
763,20598,55799,2021-02-01,Departamento,29.0,25.0,0,1,1,0.0,No,40 años,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4443842153099,-34.6206392174985,2021,COMUNA 6,5805.75367141638
8582,228196,56130,2022-09-01,Departamento,94.0,87.0,4,1,5,,,60.0,,,,,1.0,1.0,,,,,,,,,,,,0,,,,,,0.0,,,Capital Federal,Capital Federal,Caballito,U,-58.4399910122526,-34.6188877680185,2022,COMUNA 6,17081.1513305084
2277,61007,57122,2021-06-01,Departamento,125.0,110.0,3,1,4,0.0,No,40 años,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Caballito,U,-58.4289933412318,-34.6136069095929,2021,COMUNA 6,28900.5201151464
