,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,precio_pesos_constantes
3332,2572,70041,95816,2021-03-01,Departamento,45.0,40.0,1,1,2,0.0,No,6.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0.0,No,0.0,0.0,0.0,0.0,No,0,Tigre,Bs.As. G.B.A. Norte,Benavídez,U,-58.7037835383206,-34.3972830316518,2021,131.2067673646865,5248.27069458746
2748,1500,40687,95184,2021-05-01,Departamento,70.0,50.0,1,2,2,0.0,No,5.0,0,Sí,0,No,Sí,Sí,Sí,Sí,0,0,No,0,0,0,0,Sí,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Sendero,U,-58.6473046400136,-34.4016634906914,2021,206.06596304932,10303.298152466
816,6374,173284,94195,2021-02-01,Departamento,94.0,94.0,2,2,3,0.0,No,10.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Portezuelo,U,-58.6517611913519,-34.4070135636061,2021,357.57721380504046,33612.2580976738
1819,3962,107620,96169,2021-08-01,Departamento,90.0,75.0,2,3,3,0.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta,U,-58.6515485773614,-34.396196079162,2021,321.85655191579866,24139.2413936849
2331,1439,38755,90944,2022-08-01,Departamento,60.0,50.0,1,1,2,,1.0,2.0,,1.0,,0.0,0.0,1.0,1.0,0.0,,,0.0,,,,,0.0,0.0,1,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,,U,-58.5672604308907,-34.4261597485082,2022,398.386320343764,19919.3160171882
1356,831,22635,87974,2021-06-01,Departamento,41.0,41.0,1,1,2,0.0,No,0.0,No,Sí,No,No,No,Sí,No,No,No,Sí,No,No,No,No,No,Sí,Sí,2,0.0,Sí,0.0,0.0,0.0,0.0,No,0,Tigre,Bs.As. G.B.A. Norte,Los Alamos,U,-58.5871496624667,-34.4421338411508,2021,208.2631715614761,8538.79003402052
1805,5459,149095,90902,2022-08-01,Departamento,56.0,45.0,1,1,2,,0.0,7.0,,0.0,,0.0,1.0,0.0,1.0,1.0,,,0.0,,,,,1.0,1.0,1,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,Nordelta El Palmar,U,-58.6586429406143,-34.4249542921363,2022,362.8036542535156,16326.1644414082
3334,5538,150977,89603,2022-06-01,Departamento,57.0,57.0,1,1,2,,0,9.0,,1,,0,1,1,1,0,,,0,,,,,0,1,2,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,Santa Bárbara,U,-58.6217947547376,-34.4326621674105,2022,301.65294042061055,17194.2176039748
236,2849,77708,91596,2021-08-01,Departamento,102.0,90.0,3,2,4,0.0,0,1.0,0,0,0,Sí,Sí,0,0,0,0,0,0,0,0,0,0,0,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Tigre,U,-58.5802475384606,-34.4223857766412,2021,414.7635978296367,37328.7238046673
4321,5825,157985,91925,2022-04-01,Departamento,60.0,60.0,1,1,2,0.0,No,25.0,   0,No,   0,No,No,Sí,No,Sí,   0,   0,No,   0,   0,   0,   0,No,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Tigre,Bs.As. G.B.A. Norte,,U,-58.5802136095822,-34.4205828048319,2022,160.01602056972317,9600.96123418339
5833,4803,131992,94854,2021-11-01,Departamento,120.0,120.0,3,3,4,0.0,No,0.0,0,Sí,0,No,No,Sí,No,Sí,0,0,No,0,0,0,0,Sí,Sí,2,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Sendero,N,-58.6495151472954,-34.4034370923934,2021,377.7426894910333,45329.122738924
2281,4786,131679,91597,2022-02-01,Departamento,102.0,96.0,3,2,4,0.0,No,2.0,0,No,0,No,Sí,No,Sí,Sí,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,,U,-58.578071810259,-34.4224138745811,2022,313.6228966737427,30107.7980806793
2651,5318,145192,93875,2022-11-01,Departamento,50.0,50.0,1,2,2,,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,1.0,1.0,1,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,Nordelta,N,-58.6322188250864,-34.4090793292582,2022,377.06395075151,18853.1975375755
2666,5444,148692,91268,2022-08-01,Departamento,64.0,64.0,2,2,3,,1.0,20.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,1,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,Tigre,U,-58.5781056954812,-34.4242168477137,2022,239.83414644162656,15349.3853722641
4048,1351,36131,86966,2022-06-01,Departamento,90.0,75.0,2,2,3,,0,0.0,,1,,0,1,0,1,1,,,0,,,,,0,1,2,,,,,,0.0,,,Tigre,Bs.As. G.B.A. Norte,Santa Bárbara,N,-58.6329551117352,-34.4469407234867,2022,384.8554185081787,28864.1563881134
839,7419,201199,95181,2022-11-01,Departamento,78.0,66.0,2,2,3,,,20.0,,,,,1.0,,,,,,,,,,,,1.0,1,,,,,,1.0,,,Tigre,Bs.As. G.B.A. Norte,Nordelta Portezuelo,U,-58.6538299805554,-34.4015754325669,2022,357.06813518135453,23566.4969219694
4688,3847,104441,94195,2021-03-01,Departamento,75.0,75.0,1,2,2,0.0,0,0.0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,Sí,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Tigre,Bs.As. G.B.A. Norte,Nordelta Portezuelo,S,-58.6517611913519,-34.4070135636061,2021,349.8847129724973,26241.3534729373
