,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,COMUNA,precio_pesos_constantes
2066,10622,154900,69938,2021-09-01,Departamento,46.0,38.0,0,1,2,0.0,Sí,9.0,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Núñez,U,-58.4604752009722,-34.5429012939687,2021,221.46034972073764,COMUNA 13,8415.49328938803
7761,5671,82224,67639,2022-01-01,Departamento,40.0,40.0,1,1,1,0.0,No,7.0,0,0,0,0,Sí,Sí,0,Sí,0,0,0,0,0,Sí,0,0,Sí,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Belgrano,U,-58.4519785204112,-34.5556265353553,2022,236.42148446535825,COMUNA 13,9456.85937861433
11385,590,9066,68291,2021-11-01,Departamento,38.0,38.0,1,1,2,0.0,No,40.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Núñez,U,-58.4649911618727,-34.55186424142,2021,202.78818067413368,COMUNA 13,7705.95086561708
8118,179,2421,66316,2022-12-01,Departamento,45.0,40.0,0,1,1,,0.0,6.0,,0.0,,1.0,0.0,0.0,1.0,1.0,,,1.0,,,,,0.0,1.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Belgrano,U,-58.467360353319,-34.5626562289332,2022,280.28659518721,COMUNA 13,11211.4638074884
6972,4526,65490,66976,2021-01-01,Departamento,32.0,32.0,1,1,2,0.0,No,35.0,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Belgrano,U,-58.4629382212798,-34.5591024967428,2021,222.5857205277653,COMUNA 13,7122.74305688849
10080,926,14330,66323,2022-11-01,Departamento,60.0,60.0,1,1,2,,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,1.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Belgrano,N,-58.4521038721259,-34.5628386881741,2022,292.8734943563584,COMUNA 13,17572.4096613815
8189,13149,191608,66977,2022-04-01,Departamento,246.0,186.0,3,4,5,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,1,0.0,No,0.0,0.0,0.0,0.0,No,   0,Capital Federal,Capital Federal,Belgrano,U,-58.4607588207571,-34.5591285977455,2022,119.26541393605268,COMUNA 13,22183.3669921058
6280,11616,169516,68289,2021-07-01,Departamento,44.0,37.0,1,1,1,0.0,0,3.0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0,Sí,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Núñez,U,-58.4693495729908,-34.5518118590138,2021,275.76174343902164,COMUNA 13,10203.1845072438
5060,4567,66005,66321,2022-05-01,Departamento,349.0,349.0,4,3,5,,0,29.0,,1,,1,1,1,0,1,,,1,,,,,1,1,2,,,,,,0.0,,,Capital Federal,Capital Federal,Belgrano,U,-58.456462880738,-34.5627867514258,2022,387.7382502873811,COMUNA 13,135320.649350296
7307,13547,196971,68623,2022-07-01,Departamento,92.0,43.0,1,1,2,,0,1.0,,0,,0,1,1,0,0,,,0,,,,,0,0,1,,,,,,0.0,,,Capital Federal,Capital Federal,Belgrano,U,-58.4584220578125,-34.5501394879566,2022,277.78168875105115,COMUNA 13,11944.6126162952
